Name;Dataset;z;d;Ang;N [cm^-2];b [km/s];zfit
G196_2.2;RD0196;2.2;0;0;1.12E+21;299.9979374;2.191602763
G_1;RD0196;2.2;2;0;2.47E+20;299.9991201;2.196262391
G_2;RD0196;2.2;2;18;1.00E+22;299.997034;2.197368324
G_3;RD0196;2.2;2;36;4.74E+21;299.9981361;2.198805693
G_4;RD0196;2.2;2;54;3.90E+21;299.9901557;2.199497685
G_5;RD0196;2.2;2;72;2.47E+20;299.9988036;2.196882037
G_6;RD0196;2.2;2;90;3.87E+21;299.9946068;2.199992981
G_7;RD0196;2.2;2;108;2.44E+20;299.9986145;2.198474086
G_8;RD0196;2.2;2;126;4.24E+21;284.0365122;2.200316002
G_9;RD0196;2.2;2;144;6.35E+21;221.9444372;2.200383959
G_10;RD0196;2.2;2;162;1.87E+21;299.9976563;2.200264109
G_11;RD0196;2.2;4;0;1.69E+21;187.2180969;2.199700364
G_12;RD0196;2.2;4;18;9.65E+20;299.9996227;2.199501241
G_13;RD0196;2.2;4;36;7.03E+20;131.4303642;2.199938161
G_14;RD0196;2.2;4;54;6.50E+20;150.2709083;2.201158215
G_15;RD0196;2.2;4;72;5.95E+20;299.9983555;2.201576199
G_16;RD0196;2.2;4;90;8.48E+20;111.163847;2.199359945
G_17;RD0196;2.2;4;108;9.43E+20;299.9990639;2.200786146
G_18;RD0196;2.2;4;126;5.91E+20;299.997602;2.20114851
G_19;RD0196;2.2;4;144;2.09E+21;158.1507235;2.200589733
G_20;RD0196;2.2;4;162;1.17E+21;62.94198072;2.199762789
G_21;RD0196;2.2;6;0;3.50E+21;299.9975503;2.199683434
G_22;RD0196;2.2;6;18;6.89E+19;70.28236093;2.199435413
G_23;RD0196;2.2;6;36;4.88E+19;121.2194596;2.200319831
G_24;RD0196;2.2;6;54;1.23E+20;123.5833258;2.200016136
G_25;RD0196;2.2;6;72;1.59E+21;187.4495381;2.200507308
G_26;RD0196;2.2;6;90;4.05E+20;51.31463017;2.201730162
G_27;RD0196;2.2;6;108;1.14E+19;1.000136794;2.199258457
G_28;RD0196;2.2;6;126;1.60E+19;60.05821075;2.199962866
G_29;RD0196;2.2;6;144;4.99E+20;299.9986989;2.200145863
G_30;RD0196;2.2;6;162;2.25E+21;299.9992122;2.199631819
G_31;RD0196;2.2;8;0;3.86E+20;64.00869839;2.199740166
G_32;RD0196;2.2;8;18;2.87E+20;65.57774653;2.199415991
G_33;RD0196;2.2;8;36;6.71E+20;46.24511148;2.19957562
