Name;Dataset;z;seed
QSO_1;RD0196;2.5;12061943
QSO_2;RD0196;2.5;12061944
QSO_3;RD0196;2.5;12061945
QSO_4;RD0196;2.5;12061946
QSO_5;RD0196;2.5;12061947
QSO_6;RD0196;2.5;12061948
QSO_7;RD0196;2.5;12061949
QSO_8;RD0196;2.5;12061950
QSO_9;RD0196;2.5;12061951
QSO_10;RD0196;2.5;12061952
QSO_11;RD0180;2.5;12061943
QSO_12;RD0180;2.5;12061944
QSO_13;RD0180;2.5;12061945
QSO_14;RD0180;2.5;12061946
QSO_15;RD0180;2.5;12061947
QSO_16;RD0180;2.5;12061948
QSO_17;RD0180;2.5;12061949
QSO_18;RD0180;2.5;12061950
QSO_19;RD0180;2.5;12061951
QSO_20;RD0180;2.5;12061952
QSO_21;RD0180;2.55;12061943
QSO_22;RD0180;2.55;12061944
QSO_23;RD0180;2.55;12061945
QSO_24;RD0180;2.55;12061946
QSO_25;RD0180;2.55;12061947
QSO_26;RD0180;2.55;12061948
QSO_27;RD0180;2.55;12061949
QSO_28;RD0180;2.55;12061950
QSO_29;RD0180;2.55;12061951
QSO_30;RD0180;2.55;12061952
QSO_31;RD0180;2.6;12061943
QSO_32;RD0180;2.6;12061944
QSO_33;RD0180;2.6;12061945
QSO_34;RD0180;2.6;12061946
QSO_35;RD0180;2.6;12061947
QSO_36;RD0180;2.6;12061948
QSO_37;RD0180;2.6;12061949
QSO_38;RD0180;2.6;12061950
QSO_39;RD0180;2.6;12061951
QSO_40;RD0180;2.6;12061952
QSO_41;RD0180;2.65;12061943
QSO_42;RD0180;2.65;12061944
QSO_43;RD0180;2.65;12061945
QSO_44;RD0180;2.65;12061946
QSO_45;RD0180;2.65;12061947
QSO_46;RD0180;2.65;12061948
QSO_47;RD0180;2.65;12061949
QSO_48;RD0180;2.65;12061950
QSO_49;RD0180;2.65;12061951
QSO_50;RD0180;2.65;12061952
QSO_51;RD0180;2.7;12061943
QSO_52;RD0180;2.7;12061944
QSO_53;RD0180;2.7;12061945
QSO_54;RD0180;2.7;12061946
QSO_55;RD0180;2.7;12061947
QSO_56;RD0180;2.7;12061948
QSO_57;RD0180;2.7;12061949
QSO_58;RD0180;2.7;12061950
QSO_59;RD0180;2.7;12061951
QSO_60;RD0180;2.7;12061952
QSO_61;RD0180;2.75;12061943
QSO_62;RD0180;2.75;12061944
QSO_63;RD0180;2.75;12061945
QSO_64;RD0180;2.75;12061946
QSO_65;RD0180;2.75;12061947
QSO_66;RD0180;2.75;12061948
QSO_67;RD0180;2.75;12061949
QSO_68;RD0180;2.75;12061950
QSO_69;RD0180;2.75;12061951
QSO_70;RD0180;2.75;12061952
QSO_71;RD0180;2.8;12061943
QSO_72;RD0180;2.8;12061944
QSO_73;RD0180;2.8;12061945
QSO_74;RD0180;2.8;12061946
QSO_75;RD0180;2.8;12061947
QSO_76;RD0180;2.8;12061948
QSO_77;RD0180;2.8;12061949
QSO_78;RD0180;2.8;12061950
QSO_79;RD0180;2.8;12061951
QSO_80;RD0180;2.8;12061952
QSO_81;RD0180;2.85;12061943
QSO_82;RD0180;2.85;12061944
QSO_83;RD0180;2.85;12061945
QSO_84;RD0180;2.85;12061946
QSO_85;RD0180;2.85;12061947
QSO_86;RD0180;2.85;12061948
QSO_87;RD0180;2.85;12061949
QSO_88;RD0180;2.85;12061950
QSO_89;RD0180;2.85;12061951
QSO_90;RD0180;2.85;12061952
QSO_91;RD0180;2.9;12061943
QSO_92;RD0180;2.9;12061944
QSO_93;RD0180;2.9;12061945
QSO_94;RD0180;2.9;12061946
QSO_95;RD0180;2.9;12061947
QSO_96;RD0180;2.9;12061948
QSO_97;RD0180;2.9;12061949
QSO_98;RD0180;2.9;12061950
QSO_99;RD0180;2.9;12061951
QSO_100;RD0180;2.9;12061952
QSO_101;RD0180;2.95;12061943
QSO_102;RD0180;2.95;12061944
QSO_103;RD0180;2.95;12061945
QSO_104;RD0180;2.95;12061946
QSO_105;RD0180;2.95;12061947
QSO_106;RD0180;2.95;12061948
QSO_107;RD0180;2.95;12061949
QSO_108;RD0180;2.95;12061950
QSO_109;RD0180;2.95;12061951
QSO_110;RD0180;2.95;12061952
QSO_111;RD0180;3;12061943
QSO_112;RD0180;3;12061944
QSO_113;RD0180;3;12061945
QSO_114;RD0180;3;12061946
QSO_115;RD0180;3;12061947
QSO_116;RD0180;3;12061948
QSO_117;RD0180;3;12061949
QSO_118;RD0180;3;12061950
QSO_119;RD0180;3;12061951
QSO_120;RD0180;3;12061952
QSO_121;RD0165;2.5;12061943
QSO_122;RD0165;2.5;12061944
QSO_123;RD0165;2.5;12061945
QSO_124;RD0165;2.5;12061946
QSO_125;RD0165;2.5;12061947
QSO_126;RD0165;2.5;12061948
QSO_127;RD0165;2.5;12061949
QSO_128;RD0165;2.5;12061950
QSO_129;RD0165;2.5;12061951
QSO_130;RD0165;2.5;12061952
QSO_131;RD0165;2.55;12061943
QSO_132;RD0165;2.55;12061944
QSO_133;RD0165;2.55;12061945
QSO_134;RD0165;2.55;12061946
QSO_135;RD0165;2.55;12061947
QSO_136;RD0165;2.55;12061948
QSO_137;RD0165;2.55;12061949
QSO_138;RD0165;2.55;12061950
QSO_139;RD0165;2.55;12061951
QSO_140;RD0165;2.55;12061952
QSO_141;RD0165;2.6;12061943
QSO_142;RD0165;2.6;12061944
