z     ndz_pdf      ndz_cum
2.00  0.00000000   0
2.01  0.01105236   1298
2.02  0.02206214   2591
2.03  0.03201608   3760
2.04  0.04430310   5203
2.05  0.06018341   7068
2.06  0.07436926   8734
2.07  0.08879352   10428
2.08  0.10616395   12468
2.09  0.12253813   14391
2.10  0.13799269   16206
2.11  0.15445202   18139
2.12  0.17116680   20102
2.13  0.18818811   22101
2.14  0.20437496   24002
2.15  0.22162618   26028
2.16  0.23930314   28104
2.17  0.25588168   30051
2.18  0.27278378   32036
2.19  0.29037559   34102
2.20  0.30612818   35952
2.21  0.32327722   37966
2.22  0.34313400   40298
2.23  0.36225850   42544
2.24  0.37761940   44348
2.25  0.39454705   46336
2.26  0.41128737   48302
2.27  0.42450252   49854
2.28  0.43700241   51322
2.29  0.44902547   52734
2.30  0.45964357   53981
2.31  0.46939314   55126
2.32  0.47824865   56166
2.33  0.48811744   57325
2.34  0.49725394   58398
2.35  0.50631381   59462
2.36  0.51599527   60599
2.37  0.52523395   61684
2.38  0.53393619   62706
2.39  0.54295348   63765
2.40  0.55167275   64789
2.41  0.56061341   65839
2.42  0.56938378   66869
2.43  0.57921850   68024
2.44  0.58749500   68996
2.45  0.59600140   69995
2.46  0.60351155   70877
2.47  0.61174547   71844
2.48  0.61945998   72750
2.49  0.62759173   73705
2.50  0.63558723   74644
2.51  0.64352313   75576
2.52  0.65087150   76439
2.53  0.65761531   77231
2.54  0.66468269   78061
2.55  0.67104333   78808
2.56  0.67694417   79501
2.57  0.68203609   80099
2.58  0.68723870   80710
2.59  0.69489361   81609
2.60  0.70023246   82236
2.61  0.70538398   82841
2.62  0.71050144   83442
2.63  0.71606168   84095
2.64  0.72196252   84788
2.65  0.72747167   85435
2.66  0.73253804   86030
2.67  0.73791095   86661
2.68  0.74271336   87225
2.69  0.74797558   87843
2.70  0.75299938   88433
2.71  0.75794654   89014
2.72  0.76325985   89638
2.73  0.76847098   90250
2.74  0.77300943   90783
2.75  0.77765857   91329
2.76  0.78241841   91888
2.77  0.78684616   92408
2.78  0.79155491   92961
2.79  0.79568464   93446
2.80  0.80010388   93965
2.81  0.80477005   94513
2.82  0.80873800   94979
2.83  0.81296140   95475
2.84  0.81698896   95948
2.85  0.82056522   96368
2.86  0.82441396   96820
2.87  0.82806686   97249
2.88  0.83160055   97664
2.89  0.83515978   98082
2.90  0.83887228   98518
2.91  0.84216756   98905
2.92  0.84596521   99351
2.93  0.84932860   99746
2.94  0.85258981   100129
2.95  0.85598726   100528
2.96  0.85911224   100895
2.97  0.86253523   101297
2.98  0.86530258   101622
2.99  0.86860636   102010
3.00  0.87180797   102386
3.01  0.87466898   102722
3.02  0.87778544   103088
3.03  0.88078269   103440
3.04  0.88326905   103732
3.05  0.88615560   104071
3.06  0.88878671   104380
3.07  0.89160515   104711
3.08  0.89365724   104952
3.09  0.89617766   105248
3.10  0.89821272   105487
3.11  0.90070759   105780
3.12  0.90314285   106066
3.13  0.90505020   106290
3.14  0.90756210   106585
3.15  0.90971637   106838
3.16  0.91181104   107084
3.17  0.91366729   107302
3.18  0.91552354   107520
3.19  0.91762672   107767
3.20  0.91932971   107967
3.21  0.92093051   108155
