z     ndz_pdf      ndz_cum
2.10  0.00000000   0
2.11  0.01247318   2994
2.12  0.02479638   5952
2.13  0.03704460   8892
2.14  0.04925115   11822
2.15  0.06234507   14965
2.16  0.07554732   18134
2.17  0.08918283   21407
2.18  0.10259754   24627
2.19  0.11632054   27921
2.20  0.13123919   31502
2.21  0.14541629   34905
2.22  0.15944758   38273
2.23  0.17340804   41624
2.24  0.18784344   45089
2.25  0.20244548   48594
2.26  0.21783907   52289
2.27  0.23278272   55876
2.28  0.24710146   59313
2.29  0.26201179   62892
2.30  0.27598059   66245
2.31  0.29019518   69657
2.32  0.30371404   72902
2.33  0.31820360   76380
2.34  0.33209324   79714
2.35  0.34516216   82851
2.36  0.35846856   86045
2.37  0.37129169   89123
2.38  0.38558960   92555
2.39  0.39875435   95715
2.40  0.41173162   98830
2.41  0.42390068   101751
2.42  0.43602808   104662
2.43  0.44876372   107719
2.44  0.45996625   110408
2.45  0.47110213   113081
2.46  0.48203804   115706
2.47  0.49355719   118471
2.48  0.50395984   120968
2.49  0.51414585   123413
2.50  0.52389443   125753
2.51  0.53340971   128037
2.52  0.54349574   130458
2.53  0.55310684   132765
2.54  0.56268877   135065
2.55  0.57198325   137296
2.56  0.58136105   139547
2.57  0.59044306   141727
2.58  0.59935843   143867
2.59  0.60791551   145921
2.60  0.61649759   147981
2.61  0.62410065   149806
2.62  0.63219530   151749
2.63  0.64027329   153688
2.64  0.64763055   155454
2.65  0.65519195   157269
2.66  0.66234507   158986
2.67  0.66966484   160743
2.68  0.67645552   162373
2.69  0.68300873   163946
2.70  0.68981190   165579
2.71  0.69617764   167107
2.72  0.70232258   168582
2.73  0.70805924   169959
2.74  0.71392089   171366
2.75  0.71949924   172705
2.76  0.72498594   174022
2.77  0.73077676   175412
2.78  0.73594684   176653
2.79  0.74115441   177903
2.80  0.74622034   179119
2.81  0.75120712   180316
2.82  0.75598559   181463
2.83  0.76084738   182630
2.84  0.76551336   183750
2.85  0.77022518   184881
2.86  0.77474535   185966
2.87  0.77936968   187076
2.88  0.78401483   188191
2.89  0.78823088   189203
2.90  0.79295936   190338
2.91  0.79725457   191369
2.92  0.80147062   192381
2.93  0.80553669   193357
2.94  0.80978607   194377
2.95  0.81414794   195424
2.96  0.81810153   196373
2.97  0.82223009   197364
2.98  0.82639198   198363
2.99  0.83070802   199399
3.00  0.83477410   200375
3.01  0.83872352   201323
3.02  0.84288125   202321
3.03  0.84681817   203266
3.04  0.85063845   204183
3.05  0.85432958   205069
3.06  0.85822484   206004
3.07  0.86200762   206912
3.08  0.86552378   207756
3.09  0.86894411   208577
3.10  0.87247693   209425
3.11  0.87606807   210287
3.12  0.87933426   211071
3.13  0.88244214   211817
3.14  0.88577499   212617
3.15  0.88893286   213375
3.16  0.89226155   214174
3.17  0.89529860   214903
3.18  0.89837732   215642
3.19  0.90140604   216369
3.20  0.90442227   217093
3.21  0.90728852   217781
3.22  0.91017143   218473
3.23  0.91283771   219113
3.24  0.91554982   219764
3.25  0.91823276   220408
3.26  0.92069490   220999
3.27  0.92306955   221569
3.28  0.92539005   222126
3.29  0.92771054   222683
3.30  0.92991439   223212
3.31  0.93214323   223747
3.32  0.93410544   224218
3.33  0.93622597   224727
3.34  0.93811736   225181
3.35  0.93986294   225600
3.36  0.94146687   225985
3.37  0.94292499   226335
3.38  0.94444560   226700
3.39  0.94583290   227033
