# wavelength[A] tau flux flux_error
3.000000e+03 2.037553e-04 9.997963e-01 9.998981e-02
3.000800e+03 2.196075e-01 8.028339e-01 8.960100e-02
3.001600e+03 1.707005e-02 9.830748e-01 9.915013e-02
3.002400e+03 1.001766e-04 9.998998e-01 9.999499e-02
3.003200e+03 4.444773e-10 1.000000e+00 1.000000e-01
3.004000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.004800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.005600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.006400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.007200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.008000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.008800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.009600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.010400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.011200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.012000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.012800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.013600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.014400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.015200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.016000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.016800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.017600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.018400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.019200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.020000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.020800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.021600e+03 7.545265e-08 9.999999e-01 1.000000e-01
3.022400e+03 1.847260e-03 9.981544e-01 9.990768e-02
3.023200e+03 3.336986e-03 9.966686e-01 9.983329e-02
3.024000e+03 3.248949e-07 9.999997e-01 9.999998e-02
3.024800e+03 5.880011e-08 9.999999e-01 1.000000e-01
3.025600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.026400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.027200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.028000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.028800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.029600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.030400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.031200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.032000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.032800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.033600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.034400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.035200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.036000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.036800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.037600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.038400e+03 2.489837e-02 9.754090e-01 9.876280e-02
3.039200e+03 3.959171e-01 6.730625e-01 8.204038e-02
3.040000e+03 1.473941e-02 9.853687e-01 9.926574e-02
3.040800e+03 1.657642e-05 9.999834e-01 9.999917e-02
3.041600e+03 2.187848e-05 9.999781e-01 9.999891e-02
3.042400e+03 3.449351e-05 9.999655e-01 9.999828e-02
3.043200e+03 2.440719e-08 1.000000e+00 1.000000e-01
3.044000e+03 2.441497e-15 1.000000e+00 1.000000e-01
3.044800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.045600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.046400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.047200e+03 2.229763e-11 1.000000e+00 1.000000e-01
3.048000e+03 6.935790e-10 1.000000e+00 1.000000e-01
3.048800e+03 3.400367e-14 1.000000e+00 1.000000e-01
3.049600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.050400e+03 3.402898e-11 1.000000e+00 1.000000e-01
3.051200e+03 2.270670e-09 1.000000e+00 1.000000e-01
3.052000e+03 4.059568e-09 1.000000e+00 1.000000e-01
3.052800e+03 5.060422e-09 1.000000e+00 1.000000e-01
3.053600e+03 1.243785e-09 1.000000e+00 1.000000e-01
3.054400e+03 1.433742e-15 1.000000e+00 1.000000e-01
3.055200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.056000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.056800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.057600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.058400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.059200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.060000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.060800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.061600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.062400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.063200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.064000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.064800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.065600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.066400e+03 0.000000e+00 1.000000e+00 1.000000e-01
